epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8892.34,1.23484,1.16112,1.16573,0.68346,0.48109,0.52636,0.36887,1.57467,1.72464,1.4153,0.000990365,0.000990365,0.000990365
43,8952.57,1.24223,1.19136,1.15431,0.64158,0.47279,0.53043,0.37341,1.50693,1.56982,1.37763,0.000973861,0.000973861,0.000973861
44,9011.67,1.2221,1.16899,1.15656,0.5783,0.52361,0.54291,0.37718,1.48724,1.58612,1.35803,0.000957358,0.000957358,0.000957358
45,10085.1,1.24678,1.17213,1.16714,0.7094,0.47128,0.53736,0.38192,1.41797,1.67935,1.34733,0.000940855,0.000940855,0.000940855
46,10150.4,1.19666,1.10373,1.13321,0.63605,0.49748,0.51535,0.35508,1.46878,1.72961,1.35767,0.000924352,0.000924352,0.000924352
47,10214,1.20901,1.12008,1.12421,0.74659,0.48171,0.57056,0.39213,1.53995,1.54656,1.3921,0.000907848,0.000907848,0.000907848
48,10277.4,1.20362,1.11584,1.13891,0.67197,0.47024,0.53005,0.37878,1.47409,1.64251,1.36167,0.000891345,0.000891345,0.000891345
49,10340.8,1.21406,1.11709,1.13004,0.59673,0.49995,0.52514,0.3716,1.45713,1.5254,1.34875,0.000874842,0.000874842,0.000874842
50,10404.5,1.18986,1.07929,1.12999,0.70824,0.44065,0.53877,0.37839,1.47023,1.55096,1.32519,0.000858338,0.000858338,0.000858338
51,10468,1.19031,1.10209,1.1385,0.64928,0.43739,0.51028,0.36166,1.45858,1.58853,1.31534,0.000841835,0.000841835,0.000841835
52,10531,1.16234,1.062,1.11691,0.58383,0.50531,0.53049,0.37102,1.54591,1.55943,1.4073,0.000825332,0.000825332,0.000825332
53,10594.7,1.16776,1.06995,1.11981,0.68002,0.48042,0.52158,0.35388,1.54137,1.56534,1.37131,0.000808828,0.000808828,0.000808828
54,10658.5,1.14628,1.05908,1.11373,0.59051,0.49545,0.52197,0.37391,1.46733,1.63198,1.33452,0.000792325,0.000792325,0.000792325
55,10721.5,1.15576,1.05108,1.10309,0.70877,0.45957,0.55063,0.39014,1.51013,1.58785,1.37974,0.000775822,0.000775822,0.000775822
56,10785.2,1.13228,1.02712,1.09837,0.61821,0.48218,0.52805,0.36721,1.53283,1.59587,1.38903,0.000759318,0.000759318,0.000759318
57,10848.9,1.15944,1.04186,1.11312,0.61824,0.46532,0.51178,0.3659,1.58015,1.67207,1.38961,0.000742815,0.000742815,0.000742815
58,10912.3,1.14843,1.04219,1.10368,0.70081,0.47448,0.53326,0.37906,1.48903,1.60523,1.36738,0.000726312,0.000726312,0.000726312
59,10976.1,1.19021,1.02712,1.10737,0.64935,0.4763,0.52391,0.37296,1.48162,1.5137,1.34755,0.000709809,0.000709809,0.000709809
60,11040.4,1.11867,0.98439,1.09469,0.62893,0.49283,0.50021,0.35987,1.59933,1.77115,1.45428,0.000693305,0.000693305,0.000693305
61,11104.4,1.12018,0.98717,1.08411,0.66476,0.48872,0.54328,0.38412,1.53771,1.62507,1.43877,0.000676802,0.000676802,0.000676802
62,11168.4,1.11774,0.98217,1.08389,0.7214,0.48872,0.556,0.39836,1.5317,1.48674,1.43856,0.000660299,0.000660299,0.000660299
63,11232,1.10958,0.96836,1.09255,0.72105,0.49983,0.5704,0.39506,1.49711,1.4874,1.40824,0.000643795,0.000643795,0.000643795
64,11295.4,1.08797,0.96165,1.08211,0.73118,0.47187,0.54934,0.3772,1.52818,1.60444,1.36573,0.000627292,0.000627292,0.000627292
65,11359.2,1.11257,0.9582,1.07574,0.65594,0.47736,0.51784,0.36033,1.58893,1.52438,1.48063,0.000610789,0.000610789,0.000610789
66,11422.6,1.09581,0.94231,1.08028,0.72829,0.48821,0.54137,0.37486,1.51203,1.57571,1.39116,0.000594286,0.000594286,0.000594286
67,11486.1,1.07579,0.92803,1.06499,0.63887,0.50261,0.53296,0.38712,1.44747,1.67925,1.39105,0.000577782,0.000577782,0.000577782
68,11549.7,1.09371,0.94005,1.07875,0.67885,0.50312,0.54035,0.38109,1.50057,1.50582,1.37736,0.000561279,0.000561279,0.000561279
69,11613.2,1.05146,0.90329,1.06232,0.67287,0.45761,0.51765,0.37189,1.49736,1.72497,1.37548,0.000544776,0.000544776,0.000544776
70,11676.6,1.07448,0.9262,1.07547,0.66917,0.48058,0.52845,0.37645,1.50255,1.53228,1.39542,0.000528272,0.000528272,0.000528272
71,11740.9,1.07896,0.90058,1.0646,0.61968,0.48533,0.54427,0.39128,1.52165,1.66066,1.39012,0.000511769,0.000511769,0.000511769
72,11804.6,1.08065,0.91141,1.06155,0.64656,0.47368,0.53058,0.38229,1.46833,1.61691,1.35053,0.000495266,0.000495266,0.000495266
73,11868.4,1.04772,0.8894,1.06345,0.65006,0.498,0.53745,0.38781,1.464,1.52694,1.35152,0.000478762,0.000478762,0.000478762
74,11931.7,1.02847,0.87753,1.04918,0.73278,0.46592,0.52449,0.37974,1.50535,1.53602,1.37678,0.000462259,0.000462259,0.000462259
75,12973.7,1.07573,0.88441,1.05687,0.727,0.45874,0.54984,0.38689,1.45436,1.58214,1.32681,0.000445756,0.000445756,0.000445756
